Avg. Hops of Tree with Header,Avg. Hops of EDP with Header,Avg. Hops of MutipleTree,Resilience of Tree with Header,Resilience of EDP with Header,Resilience of Tree
10.295,10.295,10.845,1.0,1.0,1.0
10.64,10.6,11.235,1.0,1.0,1.0
10.355,10.355,10.945,1.0,1.0,1.0
12.14,11.768844221105528,13.485,1.0,0.995,1.0
14.941176470588236,13.684848484848485,20.331360946745562,0.85,0.825,0.845
19.95744680851064,14.992537313432836,23.240875912408757,0.705,0.67,0.685
28.686746987951807,18.397260273972602,24.39189189189189,0.415,0.365,0.37
55.25925925925926,18.130434782608695,23.2,0.135,0.115,0.1
18.0,17.166666666666668,31.666666666666668,0.035,0.03,0.03
